Image	Actor ID	Name	Age	Gender	Hight (meter)	Weight (kg)	Language	Nature	Holiday	Availability	
C:\TheFamilyProject\src\thefamilyproject\Images\Admin\ActorList\01111.jpg	01111	Dev QoT	20	Male	1.6	60	English	Lazy	Friday	No
C:\TheFamilyProject\src\thefamilyproject\Images\Admin\ActorList\39494.jpg	39494	Goku	28	Male	1.59	57	Jin Chinese	Lazy	Saturday	Yes
C:\TheFamilyProject\src\thefamilyproject\Images\Admin\ActorList\12580.jpg	12580	Ochaco Uraraka	21	Female	1.64	38	English	Lazy	Friday	No
C:\TheFamilyProject\src\thefamilyproject\Images\Admin\ActorList\10708.jpg	10708	Mikuru Asahina	23	Female	1.62	47	Gan Chinese	Creative	Wednesday	Yes
C:\TheFamilyProject\src\thefamilyproject\Images\Admin\ActorList\28608.jpg	28608	 Akeno Himejima	25	Female	1.63	46	Jin Chinese	Friendly	Tuesday	Yes
C:\TheFamilyProject\src\thefamilyproject\Images\Admin\ActorList\22194.jpg	22194	Kenshin Himura 	24	Male	1.69	53	Hungarian	Gloomy	Monday	No
C:\TheFamilyProject\src\thefamilyproject\Images\Admin\ActorList\94569.jpg	94569	Edward Elric	27	Male	1.72	58	Igbo	Honest	Thursday	No
C:\TheFamilyProject\src\thefamilyproject\Images\Admin\ActorList\17829.jpg	17829	Mizore Shirayuki	20	Female	1.63	38	Hindi	Gentle	Friday	Yes
C:\TheFamilyProject\src\thefamilyproject\Images\Admin\ActorList\33462.jpg	33462	Jotaro Kujo	26	Male	1.7	55	Indonesian	Hopeful	Friday	Yes
C:\TheFamilyProject\src\thefamilyproject\Images\Admin\ActorList\47819.jpg	47819	Yusuke Urameshi 	29	Male	1.8	60	Iranian Persian	Humble	Monday	Yes
C:\TheFamilyProject\src\thefamilyproject\Images\Admin\ActorList\55640.jpg	55640	Minori Kushieda	24	Female	1.64	37	Javanese	Fair	Monday	No
C:\TheFamilyProject\src\thefamilyproject\Images\Admin\ActorList\24703.jpg	24703	Inori Yuzuriha	24	Female	1.65	37	French	Bold	Sunday	Yes
C:\TheFamilyProject\src\thefamilyproject\Images\Admin\ActorList\54867.jpg	54867	Natsu Dragneel	28	Male	1.57	48	Italian	Hyper	Tuesday	No
C:\TheFamilyProject\src\thefamilyproject\Images\Admin\ActorList\55480.jpg	55480	Asuka Langley Sohryu	20	Female	1.6	39	Indonesian	Daring	Sunday	No
C:\TheFamilyProject\src\thefamilyproject\Images\Admin\ActorList\55490.jpg	55490	Ichigo Kurosaki	27	Male	1.79	48	Japanese	Imaginative	Friday	No
C:\TheFamilyProject\src\thefamilyproject\Images\Admin\ActorList\89604.jpg	89604	Tsumugi Kotobuki	20	Female	1.57	41	Iranian Persian	Determined	Monday	Yes
C:\TheFamilyProject\src\thefamilyproject\Images\Admin\ActorList\72674.jpg	72674	Rei Ayanami	23	Female	1.57	38	Italian	Disrespectful	Wednesday	Yes
C:\TheFamilyProject\src\thefamilyproject\Images\Admin\ActorList\36081.jpg	36081	Naruto Uzumaki	30	Male	1.59	60	Javanese	Intelligent	Monday	Yes
C:\TheFamilyProject\src\thefamilyproject\Images\Admin\ActorList\45844.jpg	45844	Ritsu Tainaka	24	Female	1.58	40	Japanese	Energetic	Friday	No
C:\TheFamilyProject\src\thefamilyproject\Images\Admin\ActorList\68543.jpg	68543	Saitama	22	Male	1.64	60	Kannada	Loud	Friday	No
C:\TheFamilyProject\src\thefamilyproject\Images\Admin\ActorList\47818.jpg	47818	Minato Namikaze	24	Male	1.74	58	Kazakh	Mysterious	Monday	No
